Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.0,-0.349008,0.0,0.0,0.0,0.08725,-0.173869,0.0,-0.349008,0.0,0.0,0.0,0.349008,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.0,-0.349008,0.0,0.0,0.0,0.08725,-0.173869,0.0,-0.349008,-0.0,0.0,0.0,0.349008,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.0,-0.349008,0.0,0.0,0.0,0.08725,-0.174053,0.0,-0.349008,-0.000244,0.0,0.0,0.349008,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.0,-0.349008,0.000381,0.0,0.0,0.08725,-0.174359,0.0,-0.349008,-0.000488,0.0,0.0,0.34938,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.000183,-0.349318,0.000763,-0.0,0.0,0.08725,-0.174727,0.0,-0.34876,-0.000946,0.0,0.0,0.349752,0.349008,0.260991,0.276092,0.261678,0.274736,0.261678,0.276092,0.260991,0.277756,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.08725,0.173869,0.000183,-0.349318,0.001144,0.0,0.000244,0.08725,-0.175217,0.0,-0.34876,-0.001404,0.0,0.0,0.350124,0.348869,0.260847,0.275845,0.261535,0.27449,0.261535,0.275784,0.260806,0.277612,0.348869,0.34876,0.260806,0.272703,0.261494,0.272128,0.261494,0.272826,0.260847,0.273504,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.087494,0.173869,0.000427,-0.34969,0.001526,0.0,0.000244,0.08725,-0.17583,0.0,-0.34845,-0.002075,0.0,0.0,0.350496,0.348729,0.260703,0.275969,0.261391,0.274613,0.261391,0.275969,0.260806,0.277468,0.348729,0.34876,0.260806,0.272703,0.261494,0.271984,0.261494,0.272703,0.260703,0.273627,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.087494,0.173869,0.000427,-0.349938,0.002136,0.0,0.000488,0.08725,-0.176565,0.0,-0.34845,-0.002747,-0.0,0.0,0.350868,0.34859,0.26056,0.275661,0.261248,0.274305,0.261248,0.275661,0.26056,0.277324,0.34859,0.34845,0.26056,0.272539,0.261248,0.271841,0.261371,0.272395,0.26056,0.273319,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.087738,0.173869,0.000793,-0.350186,0.002747,0.0,0.000488,0.08725,-0.177362,0.0,-0.348017,-0.003632,0.0,0.0,0.351534,0.34845,0.26056,0.275661,0.261248,0.274305,0.261248,0.275661,0.26056,0.277324,0.34845,0.34845,0.26056,0.272375,0.261248,0.271841,0.261248,0.272457,0.26056,0.273319,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.087738,0.174114,0.001038,-0.350496,0.00351,-0.0,0.000793,0.087433,-0.178342,0.0,-0.347738,-0.004517,0.0,0.0,0.352201,0.348182,0.260437,0.275291,0.261124,0.273935,0.261124,0.275229,0.260437,0.276893,0.348141,0.348141,0.260314,0.27221,0.261001,0.271533,0.261001,0.27221,0.260314,0.273073,0.0,0.0,0.0,
