Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.0,0.174482,0.0,-0.349008,0.0,0.0,0.0,0.0,-0.174482,0.0,-0.349008,0.0,0.0,0.0,0.349008,0.349008,0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.0,0.174482,0.0,-0.349008,-0.0,-0.0,0.0,0.0,-0.174482,-0.0,-0.349008,0.0,-0.0,-0.0,0.349008,0.349008,-0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.0,0.174482,0.000214,-0.349318,-0.000366,-0.000366,0.000488,0.0,-0.174482,-0.000244,-0.349008,0.0,-0.00061,-0.000366,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.000244,0.174788,0.000427,-0.34969,-0.000732,-0.000916,0.001099,0.000366,-0.174911,-0.000488,-0.349318,0.000183,-0.001404,-0.000855,0.349008,0.349008,0.0,0.001587,-0.0,0.001221,-0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.260991,0.27295,0.261678,0.272272,0.261678,0.27295,0.260991,0.273812,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.000488,0.175033,0.000793,-0.350124,-0.001343,-0.001648,0.001953,0.000732,-0.175217,-0.000855,-0.349504,0.000183,-0.002441,-0.001526,0.349008,0.349008,0.0,0.001587,0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.000793,0.17534,0.001282,-0.350806,-0.001953,-0.002503,0.002991,0.001099,-0.175646,-0.001343,-0.349752,0.00058,-0.003845,-0.002441,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.260621,0.27258,0.261309,0.271902,0.261309,0.27258,0.260621,0.273442,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.00116,0.175707,0.001892,-0.35155,-0.002869,-0.003601,0.004334,0.001648,-0.176136,-0.001953,-0.350124,0.000977,-0.005493,-0.003479,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.260253,0.272087,0.26094,0.271471,0.26094,0.272087,0.260265,0.27295,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.001648,0.176198,0.002564,-0.35248,-0.003784,-0.004883,0.00586,0.002258,-0.176749,-0.002625,-0.350558,0.001373,-0.007385,-0.004761,0.349008,0.349008,-0.0,0.001587,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.259884,0.271779,0.26057,0.271132,0.26057,0.271779,0.259909,0.272621,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.002258,0.176688,0.003296,-0.353534,-0.004975,-0.006348,0.00763,0.002991,-0.177484,-0.003418,-0.350992,0.00177,-0.009522,-0.006226,0.349008,0.349008,0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.259515,0.271471,0.260201,0.270793,0.260201,0.271471,0.259552,0.272292,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.00293,0.177301,0.004212,-0.354712,-0.006165,-0.007996,0.009583,0.003784,-0.178281,-0.004334,-0.35155,0.00236,-0.011963,-0.007874,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.259146,0.271101,0.259832,0.270424,0.259832,0.271101,0.259196,0.271964,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.003723,0.178036,0.005188,-0.356014,-0.007599,-0.009766,0.011719,0.0047,-0.1792,-0.00531,-0.352232,0.00295,-0.014588,-0.009705,0.349008,0.349008,-0.0,0.001587,0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.258777,0.270629,0.259462,0.269972,0.259462,0.270639,0.258839,0.271492,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.004639,0.178771,0.006287,-0.357502,-0.009034,-0.011719,0.0141,0.005737,-0.180181,-0.006409,-0.352976,0.00354,-0.017457,-0.01178,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.258409,0.270157,0.259093,0.26952,0.259093,0.270177,0.258332,0.271019,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.005676,0.179629,0.007447,-0.359115,-0.010712,-0.013856,0.016663,0.006836,-0.181284,-0.00763,-0.353782,0.004334,-0.020509,-0.013978,0.349008,0.349008,-0.0,0.001587,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.257872,0.269685,0.258539,0.269069,0.258539,0.269654,0.257825,0.270547,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.006836,0.18061,0.008728,-0.360852,-0.012391,-0.016114,0.01941,0.008057,-0.18251,-0.008911,-0.35465,0.005127,-0.023805,-0.016419,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.257334,0.269089,0.257986,0.268484,0.257986,0.26913,0.257318,0.269952,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.008118,0.18159,0.010132,-0.362714,-0.014252,-0.018556,0.02234,0.0094,-0.183797,-0.010254,-0.355642,0.005921,-0.027284,-0.019044,0.349008,0.349008,-0.0,0.001587,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.256797,0.268494,0.257432,0.267898,0.257432,0.268494,0.256812,0.269356,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.009583,0.182755,0.011597,-0.3647,-0.016114,-0.021119,0.025453,0.010865,-0.185207,-0.011719,-0.356758,0.006958,-0.031008,-0.021852,0.349008,0.349008,0.0,0.001587,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.349008,0.349008,0.25626,0.267898,0.256878,0.267242,0.256878,0.267857,0.256167,0.268761,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,0.01117,0.183919,0.013184,-0.366872,-0.01823,-0.023805,0.028688,0.012391,-0.186739,-0.013245,-0.357937,0.007996,-0.034854,-0.024843,0.349008,0.349008,0.0,0.001587,-0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.349008,0.349008,0.255553,0.2672,0.256186,0.266585,0.256186,0.267221,0.255522,0.268052,0.0,0.0,0.0,
