Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.695795,-0.771782,0.95896,-1.513115,-0.3248,0.329996,1.053723,1.534035,-0.0,0.782883,0.824246,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.696055,-0.771518,0.959235,-1.512612,-0.3248,0.329749,1.053723,1.531832,0.0,0.781758,0.823047,0.0,0.001221,0.0,0.001587,-0.0,0.001953,-0.0,0.0,0.696592,0.730512,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.696445,-0.771123,0.959235,-1.511857,-0.3248,0.329749,1.054041,1.528701,0.0,0.780172,0.821382,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.696964,-0.770662,0.959235,-1.511018,-0.324553,0.32946,1.054359,1.52473,0.0,0.778126,0.819253,0.0,0.001221,-0.0,0.001587,0.0,0.001953,0.0,0.0,0.696592,0.730512,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.697549,-0.770135,0.95951,-1.509928,-0.324553,0.329172,1.054782,1.519925,0.0,0.775682,0.816658,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.698263,-0.769477,0.95951,-1.508588,-0.324243,0.328883,1.055277,1.514375,-0.0,0.772845,0.813666,-0.0,0.001221,0.0,0.001587,0.0,0.001953,0.0,0.0,0.696592,0.730513,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.699043,-0.768687,0.959923,-1.507164,-0.324243,0.32847,1.055771,1.508002,0.0,0.769549,0.810278,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.699952,-0.767831,0.959923,-1.505491,-0.323872,0.328058,1.056407,1.500813,0.0,0.765925,0.806428,-0.0,0.001221,0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.700927,-0.766909,0.960175,-1.503736,-0.323872,0.327645,1.057043,1.4929,0.0,0.761842,0.802183,0.0,0.001221,-0.0,0.001587,-0.0,0.001953,0.0,0.0,0.696592,0.730512,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.15519,0.434515,0.186494,-0.978824,1.553284,0.160149,-1.57073,-0.702032,-0.765922,0.960428,-1.501731,-0.323656,0.32715,1.057821,1.48427,0.0,0.757435,0.797544,0.0,0.001221,0.0,0.001587,0.0,0.001953,0.0,0.0,0.696592,0.730512,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
