Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.259894,0.768164,0.808817,0.449685,0.471283,0.769573,0.808817,0.768164,0.812935,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.259586,0.767505,0.808087,0.449309,0.470718,0.768848,0.808087,0.767505,0.812204,0.0,0.0,-0.0,-0.000001,-0.0,-0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.259278,0.766386,0.806892,0.44862,0.470153,0.767729,0.806892,0.766386,0.810942,0.0,0.0,0.0,-0.000001,0.0,-0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.258663,0.764738,0.805233,0.447681,0.469055,0.766149,0.805233,0.764738,0.809282,0.0,0.0,0.0,-0.000002,-0.0,-0.000002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833315,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.258047,0.762764,0.803111,0.446493,0.467956,0.76411,0.803111,0.762764,0.807158,0.0,0.0,0.0,-0.000002,0.0,-0.000002,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.257155,0.760328,0.800526,0.445053,0.466325,0.761676,0.800526,0.760328,0.80457,0.0,0.0,-0.0,-0.000003,-0.0,-0.000003,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.256263,0.757435,0.797544,0.443426,0.464694,0.758784,0.797544,0.757435,0.801586,0.0,0.0,0.0,-0.000003,0.0,-0.000003,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.255093,0.754149,0.794101,0.441487,0.462593,0.755564,0.794101,0.754149,0.79814,0.0,0.0,0.0,-0.000004,0.0,-0.000004,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.253924,0.750536,0.790264,0.439361,0.460493,0.751888,0.790264,0.750536,0.7943,0.0,0.0,-0.0,-0.000005,-0.0,-0.000005,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325492,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.252478,0.746466,0.786033,0.436985,0.457892,0.747821,0.786033,0.746466,0.789999,0.0,0.0,-0.0,-0.000005,-0.0,-0.000005,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.251032,0.742073,0.78141,0.434422,0.455291,0.743429,0.78141,0.742073,0.785373,0.0,0.0,-0.0,-0.000006,-0.0,-0.000006,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.249372,0.73729,0.776396,0.43161,0.452253,0.738649,0.776396,0.73729,0.780288,0.0,0.0,0.0,-0.000006,-0.0,-0.000006,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.247711,0.73212,0.770992,0.428611,0.449216,0.73348,0.770992,0.73212,0.774879,0.0,0.0,-0.0,-0.000007,-0.0,-0.000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325492,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.245804,0.726627,0.765198,0.425427,0.445773,0.727991,0.765198,0.726627,0.769082,0.0,0.0,0.0,-0.000007,-0.0,-0.000007,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.243898,0.720815,0.759083,0.421994,0.442331,0.72218,0.759083,0.720815,0.762962,0.0,0.0,0.0,-0.000008,0.0,-0.000008,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.241746,0.714619,0.752647,0.418374,0.438454,0.715985,0.752647,0.714619,0.756455,0.0,0.0,0.0,-0.000009,0.0,-0.000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.239594,0.708168,0.745826,0.414631,0.434577,0.709537,0.745826,0.708168,0.749629,0.0,0.0,-0.0,-0.000009,0.0,-0.000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.237217,0.701402,0.738753,0.410641,0.430391,0.702706,0.738753,0.701402,0.742485,0.0,0.0,-0.0,-0.00001,0.0,-0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.23484,0.694253,0.731297,0.406404,0.426205,0.695624,0.731297,0.694253,0.735023,0.0,0.0,-0.0,-0.00001,-0.0,-0.00001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140684,0.0,0.004517,0.273442,-0.132731,0.0,-0.140684,0.0,0.0,0.273442,-0.132731,0.0,0.046026,0.268637,0.39192,-0.897729,1.325491,0.229944,-1.569695,-0.513765,-0.919942,0.833314,-0.848492,-0.919942,0.522416,1.419788,1.499812,0.232464,0.68692,0.723525,0.402167,0.421617,0.688228,0.723525,0.68692,0.727246,0.0,0.0,0.0,-0.000011,0.0,-0.000011,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
