Base_Latation_X,Base_Latation_Y,Base_Latation_Z,Base_Rotation_Pitch,Base_Rotation_Yaw,Base_Rotation_Roll,Base_Linear_velocity_Pitch,Base_Linear_velocity_Yaw,Base_Linear_velocity_Roll,Base_Angular_velocityy_Pitch,Base_Angular_velocityy_Yaw,Base_Angular_velocityy_Roll,left_leg_pelvic_pitch_joint,left_leg_pelvic_roll_joint,left_leg_pelvic_yaw_joint,left_leg_knee_pitch_joint,left_leg_ankle_pitch_joint,left_leg_ankle_roll_joint,right_leg_pelvic_pitch_joint,right_leg_pelvic_roll_joint,right_leg_pelvic_yaw_joint,right_leg_knee_pitch_joint,right_leg_ankle_pitch_joint,right_leg_ankle_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_thumb_metacarpal_joint,left_thumb_proximal_joint,left_index_proximal_joint,left_index_distal_joint,left_middle_proximal_joint,left_middle_distal_joint,left_ring_proximal_joint,left_ring_distal_joint,left_pinky_proximal_joint,left_pinky_distal_joint,right_thumb_metacarpal_joint,right_thumb_proximal_joint,right_index_proximal_joint,right_index_distal_joint,right_middle_proximal_joint,right_middle_distal_joint,right_ring_proximal_joint,right_ring_distal_joint,right_pinky_proximal_joint,right_pinky_distal_joint,head_yaw_joint,head_pitch_joint,waist_yaw_joint
0.0,-0.000058,0.8813,-0.000066,0.0,0.0,0.0,-0.005839,88.129982,157.072966,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.346867,0.366376,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.346862,0.36321,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000001,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.345444,0.364948,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.345499,0.361721,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.343526,0.3629,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.343521,0.359736,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.341115,0.360356,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.341107,0.357192,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.33827,0.357316,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.338263,0.354154,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.334931,0.353844,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.334925,0.350682,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.331225,0.35,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.331216,0.346777,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.327146,0.345662,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.32714,0.342502,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.322762,0.341016,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.322756,0.337857,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.318009,0.336062,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.318003,0.332843,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.312949,0.330617,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.312943,0.32743,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.307646,0.325171,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.3077,0.322017,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.302158,0.319267,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.302061,0.316206,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.296337,0.313363,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.296422,0.31009,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.290516,0.307094,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.290449,0.303974,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
0.0,-0.000058,0.8813,-0.000066,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29959,0.007508,0.019349,0.629887,-0.591999,0.0,-0.139338,0.0,0.0,0.270793,-0.131446,0.0,-0.069657,0.119093,-0.602025,-1.362461,-1.293327,0.55363,0.256016,-0.049506,-0.229146,0.570847,-1.41649,1.214855,0.506259,-0.265743,0.349008,0.349008,0.284423,0.300825,0.174255,0.183368,0.174377,0.184471,0.173786,0.185636,0.349008,0.349008,0.284475,0.297555,0.174253,0.180916,0.174257,0.181223,0.173793,0.181652,0.0,0.0,0.0,
